title,pageid_url_slug,revision_id,prose_word_count,url,source,date_fetched
Norwood scale,Norwood_scale,1365244546,1386,https://en.wikipedia.org/wiki/Norwood_scale?oldid=1365244546,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:48
Obesity in Brazil,Obesity_in_Brazil,1364912474,1239,https://en.wikipedia.org/wiki/Obesity_in_Brazil?oldid=1364912474,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:49
Organization of Turkic States,Organization_of_Turkic_States,1363223454,2326,https://en.wikipedia.org/wiki/Organization_of_Turkic_States?oldid=1363223454,Category:Articles containing suspected AI-generated texts from August 2025,2026-07-23 00:22:51
Paolo Soleri,Paolo_Soleri,1344782678,2888,https://en.wikipedia.org/wiki/Paolo_Soleri?oldid=1344782678,Category:Articles containing suspected AI-generated texts from November 2025,2026-07-23 00:22:51
Pete Nyhus,Pete_Nyhus,1351230191,258,https://en.wikipedia.org/wiki/Pete_Nyhus?oldid=1351230191,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:51
Pittsburgh Penguins Foundation,Pittsburgh_Penguins_Foundation,1363880263,1636,https://en.wikipedia.org/wiki/Pittsburgh_Penguins_Foundation?oldid=1363880263,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:52
Rajbari District,Rajbari_District,1344727875,1144,https://en.wikipedia.org/wiki/Rajbari_District?oldid=1344727875,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:22:53
Rakhshān Banietemad,Rakhshān_Banietemad,1364464295,1812,https://en.wikipedia.org/wiki/Rakhshān_Banietemad?oldid=1364464295,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:54
Rave The Planet Parade,Rave_The_Planet_Parade,1338903491,655,https://en.wikipedia.org/wiki/Rave_The_Planet_Parade?oldid=1338903491,Category:Articles containing suspected AI-generated texts from February 2026,2026-07-23 00:22:54
Rebecca Chartrand,Rebecca_Chartrand,1365299869,635,https://en.wikipedia.org/wiki/Rebecca_Chartrand?oldid=1365299869,Category:Articles containing suspected AI-generated texts from April 2025,2026-07-23 00:22:55
Regions Stroke and Neuroscience Hospital,Regions_Stroke_and_Neuroscience_Hospital,1362313426,123,https://en.wikipedia.org/wiki/Regions_Stroke_and_Neuroscience_Hospital?oldid=1362313426,Category:Articles containing suspected AI-generated texts from November 2025,2026-07-23 00:22:55
Regraga,Regraga,1337966202,658,https://en.wikipedia.org/wiki/Regraga?oldid=1337966202,Category:Articles containing suspected AI-generated texts from February 2026,2026-07-23 00:22:56
Robert Bruce Foote Sanganakallu Archaeological Museum,Robert_Bruce_Foote_Sanganakallu_Archaeological_Museum,1364194642,597,https://en.wikipedia.org/wiki/Robert_Bruce_Foote_Sanganakallu_Archaeological_Museum?oldid=1364194642,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:56
Royal stars,Royal_stars,1362422665,543,https://en.wikipedia.org/wiki/Royal_stars?oldid=1362422665,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:57
Saber Bamatraf,Saber_Bamatraf,1350805508,2047,https://en.wikipedia.org/wiki/Saber_Bamatraf?oldid=1350805508,Category:Articles containing suspected AI-generated texts from November 2025,2026-07-23 00:22:57
Sawai Madhopur Bypass Line Project,Sawai_Madhopur_Bypass_Line_Project,1365103678,742,https://en.wikipedia.org/wiki/Sawai_Madhopur_Bypass_Line_Project?oldid=1365103678,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:58
Shalini Mardolkar,Shalini_Mardolkar,1362887752,1318,https://en.wikipedia.org/wiki/Shalini_Mardolkar?oldid=1362887752,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:58
Sheldon Gosline,Sheldon_Gosline,1363218989,958,https://en.wikipedia.org/wiki/Sheldon_Gosline?oldid=1363218989,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:59
